producer;title;size;price;unit_price;url
SM MLEKOVITA;MLEKOVITA Masło Polskie Extra 200 g;;;;https://mamyito.pl/produkt/maslo-polskie-extra-mlekovita-200g
METSA TISSUE KRAPKOWICE SP. Z O.O.;MOLA Papier toaletowy White Bawełniana Biel 8 rolek;;;;https://mamyito.pl/produkt/papier-toaletowy-white-bawelniana-biel-8-rolek-mola
TARCZYŃSKI S.A.;TARCZYŃSKI Parówki premium z fileta indyka bezglutenowe 160 g;;;;https://mamyito.pl/produkt/parowki-premium-z-fileta-indyka-bezglutenowe-tarczynski-160g
GRAAL S.A.;GRAAL Tuńczyk kawałki w sosie własnym 170 g;;;;https://mamyito.pl/produkt/tunczyk-kawalki-w-oleju-roslinnym-graal-170g
Gladio Sp. z o.o. Sp. k.;JUMI JUMI Napój borówka z kawałkami galaretki kokosowej nata de coco 320 ml;;;;https://mamyito.pl/produkt/jumi-jumi-napoj-borowka-z-kawalkami-galaretki-kokosowej-nata-de-coco-320-ml
KOTANYI;Cebulka smażona 70 g;;;;https://mamyito.pl/produkt/kotanyi-cebulka-smazona-70-g
OKRĘGOWA SM MALUTA;MALUTA Jogurt naturalny śmietankowy lekki bez laktozy 220 g;;;;https://mamyito.pl/produkt/jogurt-naturalny-smietankowy-lekki-bez-laktozy-maluta-220g
Mogyi Polska Sp. z o.o.;MOGYI MEXICORN Tortilla chipsy solone 90 g;;;;https://mamyito.pl/produkt/tortilla-chipsy-solone-mogyi-mexicorn-90g
OKRĘGOWA SM W PIĄTNICY;PIĄTNICA Serek Wiejski lekki 150 g;;;;https://mamyito.pl/produkt/serek-wiejski-lekki-piatnica-150g
MONDELEZ POLSKA SP. Z O.O.;PRINCE POLO XXL Wafelek kokos 45 g;;;;https://mamyito.pl/produkt/prince-polo-xxl-wafelek-kokos-45-g
PUTKA SP. Z O.O.;PUTKA Drożdżówka z jabłkiem 90 g;;;;https://mamyito.pl/produkt/drozdzowka-z-jablkiem-putka-90g
SOKOŁÓW S.A;SOKOŁÓW Parówki z szynki Szynerki 180 g;;;;https://mamyito.pl/produkt/sokolow-parowki-z-szynki-szynerki-180-g
BUKAT SP. Z O.O.;ZIELENIAK Awokado zielone 1 szt. 190 g;;;;https://mamyito.pl/produkt/awokado-zielone-1-szt-zieleniak-190g
BUKAT SP. Z O.O.;ZIELENIAK Borówka amerykańska 125g;;;;https://mamyito.pl/produkt/borowka-amerykanska-125g-zieleniak-125g
BUKAT SP. Z O.O.;ZIELENIAK Grejpfrut czerwony 2 szt. 1000 g;;;;https://mamyito.pl/produkt/grejpfrut-czerwony-2-szt-zieleniak-1000g
