recipe_id,ingredient_id,amount,unit
1,1,3,szt
1,2,10,g
1,3,150,g
1,4,10,g
1,5,1,g
1,6,0.5,g
2,1,2,szt
2,7,50,g
2,14,60,ml
2,8,120,g
2,9,1,g
2,10,10,g
2,25,5,ml
2,5,0.5,g
3,7,60,g
3,11,150,g
3,14,80,ml
3,13,10,g
3,12,100,g
3,10,10,g
4,17,2,plastry
4,18,120,g
4,19,10,ml
4,1,2,szt
4,5,1,g
4,6,0.5,g
4,4,5,g
5,20,200,g
5,22,50,g
5,21,80,g
5,4,10,g
5,5,1,g
5,6,0.5,g
5,17,2,plastry
6,15,150,g
6,1,2,szt
6,24,60,g
6,23,3,g
6,9,1,g
6,25,10,ml
6,10,15,g
7,26,4,plastry
7,1,2,szt
7,14,120,ml
7,9,1,g
7,27,1,g
7,2,15,g
7,10,20,g
8,29,80,g
8,30,6,g
8,31,150,g
8,28,300,ml
8,25,15,ml
8,33,2,g
8,32,1,g
8,5,2,g
8,6,1,g
8,1,4,szt
9,34,2,szt
9,35,80,g
9,36,60,g
9,37,60,g
9,1,2,szt
9,25,5,ml
9,5,1,g
9,6,0.5,g
10,13,25,g
10,14,200,ml
10,11,100,g
10,38,150,g
10,10,15,g
10,39,5,g
11,40,60,g
11,14,200,ml
11,41,200,ml
11,38,150,g
11,13,10,g
11,10,10,g
11,9,1,g
12,17,4,plastry
12,42,80,g
12,43,100,g
12,19,10,ml
12,44,5,g
12,6,0.5,g
13,3,200,g
13,45,150,g
13,46,80,g
13,47,40,g
13,25,10,ml
13,19,10,ml
13,5,1,g
13,6,0.5,g
14,7,120,g
14,14,300,ml
14,1,2,szt
14,23,5,g
14,9,2,g
14,10,20,g
14,8,200,g
14,48,30,g
14,2,15,g
15,49,40,g
15,14,250,ml
15,39,5,g
15,27,1,g
15,15,120,g
15,10,10,g
16,50,200,g
16,15,120,g
16,11,150,g
16,13,10,g
16,10,10,g
17,51,300,g
17,29,80,g
17,30,6,g
17,25,15,ml
17,52,2,g
17,37,100,g
17,3,200,g
17,5,2,g
17,6,1,g
18,20,250,g
18,1,2,szt
18,24,60,g
18,23,4,g
18,27,1,g
18,25,10,ml
18,53,120,g
18,10,20,g
19,26,2,plastry
19,16,30,g
19,15,120,g
19,9,1,g
19,10,10,g
20,1,2,szt
20,37,60,g
20,2,10,g
20,17,2,plastry
20,54,10,ml
20,5,1,g
20,6,0.5,g
20,19,5,ml
21,55,200,g
21,56,50,g
21,53,120,g
21,10,10,g
21,13,5,g
22,1,2,szt
22,57,150,g
22,37,80,g
22,29,50,g
22,2,10,g
22,5,1,g
22,6,0.5,g
22,58,5,g
23,1,2,szt
23,18,100,g
23,22,40,g
23,19,5,ml
23,4,5,g
23,5,1,g
23,6,0.5,g
23,17,2,plastry
24,7,80,g
24,1,2,szt
24,14,200,ml
24,25,10,ml
24,50,200,g
24,11,150,g
24,10,15,g
25,59,250,ml
25,13,15,g
25,38,150,g
25,10,10,g
25,9,1,g
26,17,4,plastry
26,60,100,g
26,45,150,g
26,47,40,g
26,19,5,ml
26,5,1,g
26,6,0.5,g
27,1,2,szt
27,46,60,g
27,3,200,g
27,37,60,g
27,29,50,g
27,25,10,ml
27,33,1,g
27,5,1,g
27,6,0.5,g
28,61,60,g
28,14,250,ml
28,41,150,ml
28,8,200,g
28,9,2,g
28,48,20,g
28,10,15,g
29,26,2,plastry
29,62,20,g
29,63,80,g
29,3,150,g
29,5,1,g
29,6,0.5,g
30,1,3,szt
30,31,150,g
30,29,50,g
30,35,80,g
30,36,60,g
30,25,10,ml
30,5,1,g
30,6,0.5,g
31,17,2,plastry
31,1,2,szt
31,64,60,g
31,22,30,g
31,4,5,g
31,5,1,g
31,6,0.5,g
32,65,80,g
32,14,400,ml
32,41,200,ml
32,5,1,g
32,27,1,g
32,10,20,g
32,9,2,g
32,50,200,g
33,1,3,szt
33,57,150,g
33,46,40,g
33,2,10,g
33,29,30,g
33,58,5,g
33,5,1,g
33,6,0.5,g
34,7,80,g
34,1,2,szt
34,55,150,g
34,23,4,g
